imdb_id,budget,box_office,currency
tt0111161,25000000,28341469,USD
tt0068646,6000000,245066411,USD
tt0468569,185000000,1004558444,USD
tt0071562,13000000,102600000,USD
tt0050083,397751,4360000,USD
tt0108052,22000000,321365567,USD
tt0167260,94000000,1118888979,USD
tt0110912,8000000,213928762,USD
tt0120737,93000000,871368364,USD
tt0060196,1200000,38900000,USD
tt0109830,55000000,677387716,USD
tt0137523,63000000,100853753,USD
tt0167261,79000000,926287400,USD
tt1375666,160000000,839030630,USD
tt0080684,18000000,538400000,USD
tt0133093,63000000,463517383,USD
tt0099685,25000000,46800000,USD
tt9362722,100000000,690897910,USD
tt0816692,165000000,746606706,USD
tt0073486,3000000,108981275,USD
tt0114369,33000000,327311859,USD
tt0038650,3180000,9644124,USD
tt0047478,2000000,105000000,USD
tt0102926,19000000,272742922,USD
tt0120815,70000000,481840909,USD
tt0317248,3300000,30641770,USD
tt0118799,20000000,230098753,USD
tt0120689,60000000,286801374,USD
tt0076759,11000000,775398007,USD
tt0103064,102000000,520000000,USD
tt0245429,19000000,274925095,USD
tt15398776,100000000,952000000,USD
tt0056058,0,0,USD
tt0088763,19000000,381109762,USD
tt0253474,35000000,120098945,USD
tt0054215,806947,50048065,USD
tt6751668,11363000,257591776,USD
tt0172495,103000000,465361176,USD
tt0110357,45000000,763455561,USD
tt0110413,16000000,45284974,USD
tt0120586,20000000,23900000,USD
tt0407887,90000000,291465000,USD
tt2582802,3300000,50307484,USD
tt0482571,40000000,109676311,USD
tt0114814,6000000,23300000,USD
tt0095327,3700000,516962,USD
tt0034583,878000,10462500,USD
tt1675434,13000000,426590315,USD
tt0027977,1500000,1800000,USD
tt0095765,5000000,11990401,USD
tt0064116,5000000,5380118,USD
tt0047396,1000000,37042336,USD
tt0078748,11000000,104931801,USD
tt0021749,1500000,4250000,USD
tt1853728,100000000,425368238,USD
tt0078788,31500000,150000000,USD
tt0209144,9000000,40047236,USD
tt0082971,18000000,389925971,USD
tt0910970,180000000,521311860,USD
tt0405094,2000000,77672685,USD
tt0043014,1752000,5000000,USD
tt0050825,935000,1200000,USD
tt4154756,300000000,2052415039,USD
tt0081505,19000000,44781695,USD
tt0032553,2000000,11000000,USD
tt0051201,3000000,9000000,USD
tt4633694,90000000,384298736,USD
tt0090605,18500000,183316455,USD
tt0361748,70000000,321457747,USD
tt1345836,250000000,1081041287,USD
tt0057012,1800000,9500000,USD
tt0364569,3000000,17500000,USD
tt2380307,175000000,807816196,USD
tt0086879,18000000,90007557,USD
tt0082096,14000000,85000000,USD
tt4154796,356000000,2799439100,USD
tt7286456,55000000,1078958629,USD
tt5311514,0,358000000,USD
tt1187043,9000000,70000000,USD
tt0057565,250000,0,USD
tt8267604,4000000,64978931,USD
tt0091251,0,20929648,USD
tt0114709,30000000,394436586,USD
tt0169547,15000000,356296601,USD
tt0112573,72000000,213216216,USD
tt0119698,23500000,176506186,USD
tt0119217,10000000,225900000,USD
tt0087843,30000000,5500000,USD
tt0045152,2540800,7200000,USD
tt0180093,4500000,7390108,USD
tt0435761,200000000,1067316101,USD
tt0086190,32350000,572700000,USD
tt0338013,20000000,72258126,USD
tt0062622,12000000,71923560,USD
tt2106476,3800000,18300000,USD
tt0105236,1200000,2859750,USD
tt0044741,0,55240,USD
tt0056172,15000000,69995385,USD
tt0033467,839727,23218000,USD
tt0022100,0,35274,USD
